questions,answers
asking contriol measure control fruit rot problem chilli,suggested to apply dithane m-45@2gram/liter of water.
asking control measure control fruit rot disease chilli,suggested to apply bavistin@2 gram/liter of water at 7-10 days interval.
asking variety name chilli,"suggested to grow varieties like:np-46,pusa jwala,suryamukhi,krishna."
asking control measure gandhi bug,suggested to spray thiodan @ 1.5ml/liter water.
asking avail tractor subsidized rate govt project,"suggested to contact state department of agriculture or state institute of rural development, khanapara, guwahati."
asking treatment worm infestation cow,suggestd to administer panacur bolus150gm boli @5mg/kg body weight.
asking treatment worm infestation buffalo,suggested him to administer panacur bolus @5gm /kg body wt.
telling want cultivate cucumber land 5 bigha asking fertiliszer dose per bigha land treat seed,"advised to treat per kilogram of seeds with 5 gram of captaf and to apply 14 kilogram of urea, 37 kilogram of super, 17 kilogram of potash along with 300 kilogram of farm yard manure. the fertilizer dose suggested is for a land of 1 bigha."
asking control measure yellow stem borer infestation boro rice cultivation,suggested to apply nuvacron 40ec@2ml/liter of water.
asking proper time application fertilizer coconut,suggested to apply fertilizer during march/april and september/october
telling prepared sow seed ridge gourd land 1 bigha asking treatment beneficial effect bitterness ridge gourd,suggested mr. islam to dip the seeds of ridge gourd overnight in a solution @ 4 mili litre of succinic acid per 50 litres of water .the very next morning to percolate from the water and then to go for sowing. also suggested to spray on the leaves the same suggested solution whenever first female flowers are seen which will have a beneficial effect in reducing the bitterness.
asking control measure rice hispa boro rice,suggested mr sarma to spray monocrotophos 40 ec @4 ml/litre of water to control rice hispa of boro rice.
asking control measure control root rot problem bitter gourd,suggested to apply captan@2.5gram/liter of water at root zone.
asked control measure fruit borer brinjal,suggested to spray the crop with malathion 50 ec @ 2 ml per lit of water.
asking control measure fruit borer spine gourd,advised to spray malathion 50ec @ 2 milli litre per litre of water to get rid off from such fruit borers.
asking control measure control fruit borer pest brijal,suggested to spray azadirachtin product like-neem gold@3ml/liter of water.
asking controlling measure fruit borer assam lemon,suggested mr ansari to spray neemgold @5 ml/litre of water for controlling fruit borer of assam lemon.
asking controlling measure fruit borer assam lemon,suggested mr ansari to spray neemgold@5ml/litre of water for controlling fruit borer of assam lemon.
asking good variety marigold suitable cultivation assam condition,"suggested to select golden glo,ceopid, glitters, pot of gold & copri gold which all are suitable for assam condition."
asking source good milch breed cow,suggested to contact with nearest veterinary extension officer.
asking control measure control fruit borer pest cucumber,"suggested to spray azadirachtin product like-neem gold,achook@3ml/liter of water."
asking sowing season cow pea,cow pea is cultivated round the year under proper drainage and irrigation.
asking control measure control root rot chilli,advised to drench the soil around the root portion with captaf @ 3 gram per litre of water.
asking control measure control fruit rot cow pea,suggested to apply mancozeb@2.5 gram/liter of water.
asking control measure case worm,suggested to spray profex @ 2ml/liter water
asking variety name tomato,"suggested to grow variety like-pusa early dwarf,arka vikas,pusa rubi,punjab chhuhara,all rounder etc."
asking tomato variety,"suggested to cultivate variety like-punjab chhuhara,pusa early dwarf,pusa rubi,arka alok,arka ava etc."
asking control measure pseudostem borer banana,suggested to spray malathion 35ec @ 1 milli litre per litre of water and to apply carbofuran 3g @ 30 gram per stool for controlling such borers.
asking spacing chiilli,suggested that spacing is-45 centimeter(row to row) x 45 centimeter(plant to plant)
asking treatment worm infestation goat,suggested him to administer panacur bolus @5mg/kg body weight.repeat same dose after 15 days.
asking variety name cabbage,"suggested to grow variety like-pride of india,golden acre,pusa mukta,hyb no-10,hyb imp-20 etc"
asking name crop booster better yield tomato,advised to spary green harvest @ 2 milli litre per litre of water.
asking control measure rice case worm paddy,advised to spray ekalux 25ec @ 3 milli litre per litre of water.
asking age castration pig,the proper age of castration for pig is 2-3 month of age.
asking proper planting time sugarcane,suggested that march  month is suitable for planting of sugarcane(spring planting).
asking package practice cabbage cultivation,given in details regarding the package of practices of cabbage.
asking control measure rice case worm paddy,advsied to spray ekalux 25ec @ 3 milli litre per litre of water.
asking poultry farming,suggested him how to establish a poultry farm.
asked control measure fuit fly ridge gourd,suggested to spray the crop with malathion 50 ec @ 2ml per liter of water.
asking control measure control cut worm pest infestation root portion,suggested to apply furadon 3g@10 gram/plant in ring method near the root portion.
asking treatment worm infestation buffalo,suggested him to administer panacur bolus @5mg/kg body weight.
asking variety name jowar,"suggested to grow variety like-csh-9, sph-468 (csh-14),csh-13, csh-15r, csh-16r"
asking go seed treatment coriander,advised to treat the seeds captan 50wp @ 2 gram for per kilo gram of seeds before sowing and then should rubbed betwen palms until the pericarp seperates.
asking control measure fungal wilt tomato,suggested to drench the soil around the plant with captan 50 wp @ 3 gram per litre of water.
asking controlling measure crown rot disease coconut,suggested mr bhuyan to apply borux@25 gram/coconut tree at a distance of 3feet by ring method of application.
asking controlling measure mosaic chilli,suggested mr hussain to spray rogor 35 ec@2ml/litre of water for controlling mosaic of chilli.
asking controlling measure stem borer rice,suggested mr das to spray chloropyriphos@2ml/litre of water for controlling stem borer of rice.
asking recommended fertilizer dose sali rice variety,"suggested that the recommended fertilizer dose is like-urea@12 kiogram/bigha,ssp@18 kilogram/bigha,mop@4 kilogram/bigha,fym@2 quintal/bigha"
asking control measure control cut worm pest infestation brinjal,suggested to apply furadon 3g@10gram/plant in ring method.
asking variety name black gram,"suggested to grow variety like-t9,panu19,ju-78 etc."
asking control measure rice case worm paddy cutivation,advised to spray ekalux 25ec @ 3 milli litre per litre of water.
asking controlling measure rat paddy field,suggested mr rahman to apply zink phosphide tablet for controlling rat on paddy field.
asking fertilizer dos mustard,"suggested to apply urea@18kg,superphosphate@27kg and potash @3kg/bigha as the recomended doses of fertilizer of mustard."
asking early variety cabbage,"suggested mr matin to cultivate golden acor,pride of india,pusa mukta as the early varietes of cabbage under assam agroclimatic condition."
asking fertilizer dos tomato,"suggested mr ali to apply urea-@22kg,super phosphate-@50kg,and potash-@13kg and compost@2 quintal as the recomended doses of tomato."
asking crop booster chemical induce growth fast pace boost production,suggested to spray green harvest @ 1 milli litre per litre of water.
asking control measure damping disease,suggested to spray blitox @ 2gm/liter water.
asking variety chilli,"suggested mr jabbar to cultivate np-46,pusa jwala,suryamukhi,krisna as the varieties of chilli."
asking controlling measure mosaic virus chilli,suggested mr sarkar to spray rogor@ 2ml/litre of water for controlling mosaic virus of chilli.
asking good mid variety name cauliflower suitable cultivation locality,"improved japanese, pusa synthetic, pusa snowball and main crop patna have been replied."
asking control measure blast paddy,suggested to spray bavistin @ 1 gram per litre of water. volume suggested for 1 bigha of land is 50-60 litres of water.
asking cauliflower variety recommended assam agricultural university,"suggested to grow variety like-pusa katki,pusa deepali,improved japanese,pusa snow ball,pusa synthetic,himani etc."
asking control measure control damping disease tomato,suggested to spray captan@2gram/liter of water.
asking control measure anthracnose disease betel vine,advised to give four sprays of bordeaux mixture @ 0.5% at 20 days interval after initiation of the disease.
asking variety maize assam agroclimatic condition,"suggested mr mojid to cultivate nld,dhawal,naviot,diara as the varieties of maize under assam agroclimatic condition."
asking control measure flower drop,suggested to test the ph of soil.
asking variety boro rice,"suggested mr mannan to cultivate boro 1,boro 2,kalinga 3,krisna,joymati,bishnuprasad,kanaklata,dinanath as the recomended varieties of boro rice."
asking poduction technology tomato,described in details.
asking potato variety name,"suggested to grow variety like-kufri jyoti,kufri chandramukhi,kufri megha,kufri badshah etc."
asked fertilizer dose spacing bhoot jolokia var chilli,"suggested to apply urea 20 kg, ssp 30 kg, mop 13 kg and 2 quintal fym and to maintain a spacing of 1 m x 75cm."
asking control measure leaf spot disease cabbage,suggested mr deka to spray streptomycin@2gm/litre of water for the controling leaf spot diseases of cabbage.
asking boro rice variety name,"suggested about the variety like-boro-1,boro-2,kaveri,joymaoti,bishnu prashad,jyoti prashad."
asking production technology potato,explained in details
asking treatment white diarrhoea poultry,suggested him to administer tetracycline podwer 4gm per 4 lyr of water 2-3 times dailyfor 5-7 days.
asking control measure control fungal wilt cauliflower,suggested to apply bavistin@2gram/liter of water.
asking production technology boro paddy,explained in details
asking fertilizer dosage term per bigha land cultivate pumpkin,"22, 66 and 300 kilo grams of urea, ssp amd fym respectively has been suggested to cultivate pumpkin per bigha of land."
asking control measure phytoptora leaf rot,suggested to apply four numbers of drenches of bordeaux mixture @ 1% and at 15 days interval.
asking improve milk cow,suggested him to administer agrimin forte @40gm twice daily.along with that administer intacal@100ml daily.
asking control measure control fruit borer attack french bean,suggested to spray malathion 50ec@1mililiter/liter of water followed by waiting period for 5-7 days.
asking cultivation practice,explained in details
asking control measure aphid saw fly mustard,replied that spraying rogor 40ec solution @ 75 milli litre in 60 litres of water for per bigha of land or malathion 50ec solution @ 150 milli litre in 60 litres of water for per bigha of land should be adopted for such major pests of mustard.
asking name green type variety summer squash,"variety names suggested are pointed green, broad green and oval gren."
asking source hybrid rice seed cultivated procured,suggested mr.ali to coordinate with the district agricultural officer of his district and to contact the leading retailer of seeds and fertilizer of his district.
asking variety name lentil,"suggested about the variety like-b-77,pl 406"
asking recommended fertilizer dose mustard,"suggested about the recommended fertilizer dose like-urea@18 kilogram/bigha,ssp@27 kilogram/bigha,mop@3 kilogram/bigha."
asking plant protection measure boro rice seed bed,suggested to spray carbendazim solution @ 1 gram in 1 litre of water as soon as one or two blast spots are seen.
asking procedure seed treatment wet method boro rice seed,advised to soak the seeds directly for 24 hours in mancozeb solution @ 2.5 gram in 1 litre of water or captan solution @ 2.5 gram in 1 litre of water.
asking control measure bacterial leaf spot betelvine,suggested to go for four sprays of streptomycin (1%) along with bordeaux mixture( 0.5%) at 20 days interval after initiation of the disease.
complained recommended variety available market,suggested to contact ado of his locality or to contact shilongoni agriculture research station.
asking control measure control immature fruit drop problem coconut 5th year stage,"suggested to apply recommended fertilizer like-urea @ 1.5 kilogram/plant,ssp @ 2.5 kilogram/plant,mop @ 1.75 kilogram/plant,borax @ 50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter away from the main trunk."
asked get training raising air breathing fish,sugessted him to copntact frc centre located at jorhat.
asking treatment white diarrhoea poultry,suggested him to administer tetracycline powder@4gm per 4 ltr of water for 2-3 times daily for 5 days.
asking control measure fruit rot french bean crop,suggested to spray bavistin solution @ 1.5 milli litre in 1 litre of water.
asking package practice arize6444 hybrid rice variety,given in details regarding the package of practices.
asking control measure fruit borer pea crop cultivation,nuvan 100 ec solution @ 1 mili litre in 1 litre of water has been suggested to spray to bring in control the fruit borers in pea crop cultivation.
asking control measure fruit borer brinjal,suggested mr boro to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.
asking control measure fruit borer bottle gourd,suggested mr alam to spray malathion 50ec@2ml/litre of water for controlling fruit borer of bottle gourd.
asking control measure control anthracnose disease chilli,suggested to spray mancozeb@2.5 gram/liter of water.
asking treatment low milk production case cow,suggested to administer ostovet liq.@ 50 ml twice daily for ten days.along with that administer meboliv liq.@ 25 ml once daily for 9 days.
asked fertilizer dose boro rice,"suggested to apply urea 12 kg ssp 18kg, and mop 4 kg per bigha."
asked wheather grow arize 6444 variety rice boro season,told him positively.
asking recommeded fertilizer dose brinjal,"suggested that the recommended fertilizer dose is like-urea@14 kilogram/bigha,ssp@41 kilogram/bigha,mop@11 kilogram/bigha,fym@2 quintal/bigha"
asking variety hybrid boro rice,"suggested mr ahmed to cultivate arize 6444,proagro-6444,krh-1,krh-2 as the recomended varieties of hybrid boro rice."
asking variety boro rice,"suggested mr ali to cultivate boro-1,boro-2,jaymati,jyotiprasad,bisnuprasad,ir-50 as the recomended varieties of boro rice."
asking control measure anthracnose disease chili crop,captan 50 wp solution @ 2 gram in 1 litre of water has been suggested to spray.
asking cultivation practice bengal gram,given in details regarding the cultivation practices of bengal gram.
asking local variety potato,"suggested to grow local variety like-rongpuriya,lalpahari,badami etc."
asking variety brinjal,"suggested to grow variety like-pusa purple kranti,pusa purple long,pusa purple cluster,pusa purple round,pusa bhairav,arka navneet etc."
asked control measure damping cucumber seedling,suggested to soil drenching with indofil m 45 @ 2 gm per liter of water.
asking treatment low milk production cow,suggested to administer ostovet liq.5o ml twice daily for ten days.along with that administer vimeral @ 5 ml twice daily.
asking variety broccoli,"suggested about the variety like-atlantic,coastal,green sprouting medium,green mountain etc."
asking recommnded fertilizer dose brinjal,"suugested that the recommended fertilizer dose is like-urea@14 kilogram/bigha,ssp@41 kilogram/bigha,mop@11 kilogram/bigha,fym@2 quintal/bigha"
asking control measure control phytophthora leaf rot disease betel vine,suggested to spray blitox-50@2gram/litre of water.
asked fertilizer dose boro rice irrigated condition,"suggested to apply 18kg urea, 27kg ssp and 6kg mop per bigha"
asking control measure fungal wilt brinjal crop cultivation,suggested to drench the soil around the plant at the base with captan 50 wp solution @ 3 gram in 1 litre of water and also to spray on the crop.
asking amount zinc sulphate applied term per bigha land main field transplant rice seedling hybrid local variety,06 kilo grams per bigha in case of hybrid variety and 04 kilo grams in case of local variety have been replied against the asked query.
asking fertilizer dos applied main field arize6444 variety rice,"1.5, 12, 6.5 and 6.5 kilo grams of urea, dap, mop and zinc sulphate respectively has been suggested to be applied in the main field for arize-6444 variety of rice. also advised that 6 kilo grams of urea, 7 kilo grams of urea and 4.5 kilo grams of urea along with 2.5 kilo grams of mop respectively should be top dressed at 3, 6 and 8 weeks respectively."
asking control measure late blight potato,suggested to spray ridomil m z 72 @ 2g/liter water followed by apply dithane m-45@2.5gram/liter of water at 7 days interval
asking control measure control fruit borer pest brinjal,suggested to spray malathion 50ec@2 mililitre/litre of water followed by waiting period for 7-10 days.
asking control measure control phytophthora leaf rot disease betelvine,suggested to spray blitox-50@2gram/litre of water at 10-12 day interval.
asking treatment cough cow,suggested to administer caflon owder @ 50 gm thrice daily along with gur for five days.
asking recommended fertilizer dose boro rice,"suggested that the recommended fertilizer dose is like-urea@12 kilogram/bigha,ssp@18 kilogram/bigha,mop@4 kilogram/bigha,fym@2-3 quintal/bigha."
asking variety name ridge gourd,"suggested to grow variety like-pusa nosdur,pusa sikmi,aau-j-1 etc."
asking variety name pumpkin,"suggested about the variety like-summer king long,arka surya mukhi,arka chandan etc."
asking seed rate capsularis variety jute term line sowing,800 gram per bigha of land has been suggested.
asking treatment wound cow,suggested to clean the wound with normal saline and then spray scavon spray over the affected area twice daily.
asking treatment wound cow,suggested to clean the wound with normal saline and the spray topicure spray over the affected area twice daily for five days.
asking control measure field cricket cit worm potato crop cultivation field,malathion 5% dust @ 6 kilo grams per bigha of land has been suggested to apply as the control measure against field crickets and cut worms in potato crop cultivation field.
asking control measure control root rot disease sponge gourd,suggested to apply captan@2gram/litre of water near the root portion.
asking avail loan start project dairy farming,suggested to approach the loan section of the nearest nationalised bank of his locality with relevant documents in hand.
asking good variety name transplanted normal ahu rice summer rice semidwarf variety recommended zone,"govind, ir-50 and rasi have been replied as some good variety names of transplanted normal ahu rice (summer rice) of semidwarf variety recommended for his zone."
asking control measure control yellow stem borer pest attack boro rice cultivation,suggested to spray ekalux @2 mililitre/litre of water.
asking recommended fertilizer dose boro rice irrigated condition,"suggested that the recommended fertilizer dose is like-urea@18 kilogram/bigha,ssp@27 kilogram/bigha,mop@6 kilogram/bigha,compost@2-3 quintal/bigha."
asking variety ridge gourd,"suggested to grow variety like-pusa nosdur,pusa sikmi,aau-j-1 etc."
asking control measure fruit borer vindi,suggested mr deka to spray malathion 50ec@2ml/litre of water for controlling fruit borer of vindi.
asking control measure fruit borer ridgegourd,suggested mr kowar to spray malathion 50ec@2ml/litre of water for controlling fruit borer of ridgegourd.
asking controll measure rice hispa,suggested mr malo to spray monocrotophos40ec@2ml/litre of water for controlling rice hispa.
asking good capsularis variety name jute suitable cultivation assam condition,"jrc 212 (saubujsona), jrc 321 (sonali), upc 94 (reshma) and jrc 7447 (shyamali) have been replied."
asking control measure yellow stem borer paddy crop cultivation field,ekalux 25 ec solution @ 3 milli litres in 1 litre of water has been suggested to spray.
asking control measure rice case worm boro rice cultivation,ekalux 25 ec solution @ 3 milli litres in 1 litre of water has been suggested to spray.
asking control measure fruit borer cow pea,malathion 50 ec solution @ 2 milli litres in 1 litre of water has been suggested to spray.
asked control measure blast rice,suggested to spray the crop with bavistin soolution @ 1 gram per litre of water.
asking control measure control rice hispa infestation boro rice cultivation,suggested to spray chlorpyriphos 20ec@ 2mililitre/litre of water.
asking variety name okra,"suggested about the variety like-arka namika,prabhani kranti etc."
asking control measure control leaf blast disease boro rice,suggested to apply carbendazim@ 2gram/litre of water.
asking control measure bacterial blight paddy crop cultivation field,"bavistin solution @ 1 gram in 1 litre of water has been suggested to spray. moreover, a mixture solution of 1 kilo gram of raw cowdung with 10 litres of water has also been suggested to spray in the direction of wind."
asking suitable variety name fertilizer dose ginger term per bigha land,"suggested to go for the varieties like moran, jorhat, nadia etc.fertilizer dose suggested in terms of per bigha of land to cultivate ginger is to 5 kg urea, 30 kg ssp, 6 kg mop and 300kg fym per bigha."
asking control measure control panama disease bananavarietymalbhog,suggested to make 10 centi metre hole in diseased corm at an angle of 45&#730;.the hole is filled with 2%(20gram/liter)carbendazim solution  and also to plant healthy planting materials.
asking control measure control leaf eating caterpillar ridge gourd,suggested to spray malathion 50ec@1mililitre/litre of water.
asking treatment white mucous diarrhoea ina calf,suggested to applly symoxyl calf bolus @1 bol. per day for three days.
asking fertlizers dosage term per bigha land cultivate capsularis variety jute,"12, 20 and 7 kilo grams of urea, single super phosphate and muriate of potash respectively have been advised as fertlizers dosages in terms of per bigha of land to cultivate capsularis variety of jute."
asking control meausure rice case worm paddy crop cultivation field,ekalux 25 ec solution @ 3 milli litres per litre of water has been suggested to spray.
asked spacing medium tall variety banana,suggested to plant the crop with a spacing of 2.1 metre from row to row and 2.1 metre from plant to plant.
asking control measure control powdery mildew disease okra,suggested to apply sulfex @ 2 gram/litre of water.
asking control measure control fruit rot disease chilli,suggested to apply mancozeb @ 2 gram/litre of water.
asking control measure rice bug paddy crop,suggested to apply malathion 5 % dust @ 3 kilo gram per bigha of land.
asking control measure control anthracnose disease betel vine,suggested to apply blitox-50 @ 2 gram/ litre of water.
asking treatment mastitis cow,suggested to apply mastilep cream over udder twice a day after cleaning.
asking treatment diarrhoea buffalo,suggested to administered 2 cure bolus @ 2bolus twice a day.for three days $ors as sos.
asking control measure fruit rot capsicum,suggested to apply mancozeb @ 2 gram / litre of water.
asking control measure control root rot disease bottle gourd,suugested to apply captan @ 2 gram / litre of water near the root zone.
asking control measure blast paddy crop cultivation field,'bavistin' solution @ 1 gram per litre of water has been suggetsed to spray.
asking control measure fruit borer guava,'malathion 35 ec' solution @ 1 milli littre per litre of water has been suggested to spray.
asking bacterial wilt chilli,suggested mr ali to spray agromycin@2gm/litre of water for controlling  bacterial wilt diseases of chilli.
asking control measure jute hairy catterpiller,suggested to spray fenitrothion 50 ec 0.5%
asking name herbicide control weed,suggested mr chowdhury to spray 24-d as herbicide.
asking post emergence herbicide name jute,"suggested about the post emergence herbicides name like-dalapon 80wp,dowpon etc."
asking treatment mastitis cow,suggested to apply mastilep cream over udder twice a day after cleaning .
asking control measure yellow mite jute crop cultivation field,'monocrotophos 40 ec' solution @ 1.5 milli litres per litre of water has been suggested to spray preferably in the upper portion of the plant as the control measure against yellow mites in jute crop cultivation field.
asking purpose kcc,explained in details.
asking control measure stem borer banana,suggested mr bharali to apply carbofuran 3g@50 gram/banana plant and to spray malathion 35 ec@1ml/litre of water.
asked type feed fitted fopr fish cultivation,suggested him to apply rice brane and musturd oil mixture @ratio of 1:1 on daily basis.
asking control measure control neck blast disease boro rice cultivation,suggested to apply tricyclazole @ 1 gram / litre of water.
asking control measure weed paddy crop cultivation field,"suggested to go for manual weeding, if possible. otherwise, to go for spraying of 'knockweed' solution @ 12.5 milli litres in 25 litres of water."
asking treatment maggoted wound,"suggested to apply d"" mag spray liberally twice daily."
asking fertilizer dos term per bigha land cultivate ranjit variety sali rice,"12, 18 and 04 kilo grams of urea, single super phosphate and muriate of potyash respectively has been suggested in terms of per bigha of land to cultivate ranjit variety as sali rice."
asking control measure phytophthora leaf rot disease bete vine,advised to spray 0.1% bordeaux mixture at 12 days interval for two times.
asking semi dwarf sali rice variety,"suggested about the variety like-pankaj,jaya,bahadur,ranjit etc."
asking control measure measure immature fruit drop problem coconut,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk"
asking tratment crack udder,suggested to apply mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking semi dwarf variety name sali rice,"suggested about the semi dwarf variety like-pankaj,jaya,bahadur,ranjit etc."
asking manure fertilizer dosage applied term per tree mango,"1600, 1120, 1130 garms of urea, ssp and mop along with 20 kilo grams of farm yard manure has been suggested to be applied in two equal split doses once in march-april and the other dose in september-october in terms of per bearing tree of mango. suggested to apply in the trench method of application."
asking sowing time sow groundnut seed,june-july has been replied along with 65-70 kilo grams kernel for per hectare of land has been suggested.
asking source information pure duck breed,"suggested to approach the poultry in-charge, state institute of rural development,khanapara."
asked get training cat fish breeding culture,suggested him to contact fishery researsh centre located in jorhat.
asking control measure anthracnose disease infestation chilli,suggested to apply mancozeb @ 2 gram /litre of water.
asked detail cultivation practice method carp production pond 5 bigha area water,"answered him in details about requrement of monthly dosages of lime , cowdung, urea and ssp.about stocking ratio and also about pre and post stocking management of pond."
asking control measure control phytophthora leaf rot disease betel vine,suggested to apply 0.1% bordeaux mixture at 15 days interval.
asking control measure panama disease banana,suggested to make 10 centimetr hole in diseased corm at an angle of 45&#730;.the hole is filled with 2%(20gram/liter)carbendazim solution and also to plant healthy planting materials.
asking avail training programme maintenance farm implement,"suggested to contact with farm machinery training and testing institute(ner),located at biswanath chariali,sonitpur(assam)."
asking good early variety name cauliflower,"early kunwari, pusa ketki and pusa deepali have been replied."
asking control measure leaf blast disease attack paddy cultivation,suggested to apply mancozeb @ 2 gram / litre of water.
asking treatment mastitis cow,suggested to apply amstilep cream over the udder surface twice daily.
asking control measure khaira disease rice,suggested to apply zinc sulphate @ 1kg/bigha
asking control measure leaf curl disease chilli crop cultivation field,'rogor 35 ec'solution @ 2 milli litres per 1 litre of water has been suggested to spray on the crop as the control measure against leaf curl disease in chilli crop cultivation field.
asking control measure flower drop chilli,suggested to apply planofix @1ml/3ltr water
asking procedure selection coconut seedling,replied that one year old seedling should be selected and the seedling should have early splitted leaf and having 5-6 leaves. also replied that the seedling should have stout collar.
asking control measure rice stem borer paddy,'monocrotophos 40 ec' solution @ 2 miili litres per litre of water has been suggested to spray.
asking treatment diarrhoea goat,suggested to administer neblon powder @15 gm twice a day.
asking source information pure beetal breedof goat,"suggested to contact the farm manager ,goat research farm,burnihat."
asking fertilizer dosage term per tree arecanut applied 4th year age along procedure application,"198, 250, 233 and 8000 grams of urea, ssp, mop and fym have been suggested to apply in two equal split doses along with 25 grams of borax per application. to be applied once in march-april & the other part in sep-oct in the trench method of application."
asking control measure control yellow stem borer pest attack paddy,suggested to spray tricel 20 ec @ 2 mililitre / litre of water.
asking manure fertilizer dose radish term per bigha land cultivation,"14, 41, 22 and 200 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively have been suggested as the manures and fertilizers dose of cabbage in terms of per bigha of land for cabbage crop cultivation.half of urea and full doses of others suggested to be applied as basal and the remaining half of urea to be top dressed at 30 days after planting i.e. during first earthing up."
asking control measure control stem bleeding coconut,suggested that chisel affected tissue and dress the wound with 5% calixin and to apply coal tar after 2 days.
asking planting time mango assam climatic condition,april to september has been suggested as the planting time of mango under assam climatic condition.
asking manure fertilizer dose radish term per bigha land radish crop cultivation,"14, 41, 22 and 300 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively have been suggested as the manures and fertilizers dose of cabbage in terms of per bigha of land for cabbage crop cultivation.half of urea and full doses of others suggested to be applied as basal and the remaining half of urea to be top dressed at 30 days after planting i.e. during first earthing up."
asking manure fertilizer dose cabbage term per bigha land knolkhol crop cultivation,"23, 41, 13 and 200 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively have been suggested as the manures and fertilizers dose of knol-khol in terms of per bigha of land for cabbage crop cultivation.half of urea and full doses of others suggested to be applied as basal and the remaining half of urea to be top dressed at 30 days after planting i.e. during first earthing up."
asking treatment diarrhoea buffalo,suggested to administer pabadine bolus @1 bolus/200kg body wt. daily for three days.
askling planting time banana assam climatic condition,march-april has been replied as the planting time of banana under assam climatic condition.
asked feeding carp carp culture system,gave him in details.
asking treament retaintion placenta cow,suggested to administetr exaper liq. @ 100 ml twice on the first day and repeat the same dose once daily for next three consecutive days.
asking good variety name og black gram suitable cultivation,"t 9, pant u 19, ug 157 and ju 78 have been replied and suggested for cultivation as some good variety names og black gram suitable for cultivation."
asking spurce information pure goat breed,"suggested to coordinate the farm manager, goat research farm ,burnihat."
asked quantity inorganic fertilizer used pond water,gave him in details.
asking control measure phytophthora leaf rot disease betel vine,suggested to apply 0.1% bordeaux mixture at 12 days interval for two times.
asking control measure leaf blast disease attack paddy field,suggested to spray tilt @ 1 mililitre / litre of water at 10 days interval.
asking treatment mastitis cow,suggested to apply mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking atma scheme,given in details about the scheme.
asking treatment fever cow,suggested to administer melonex plus bolus @ 1 bolus /200kg body wt daily for three days.
asking treatment wound cow,"suggested to clean the area with normal saline and then spray topicure spray over the affectea adrea twice daily,."
asking cough cow,suggested to administer caflon powder @50 gm thrice daily along with gur for five days.
asking control measure bud rot disease coconut,suggested to apply 1 % bordeaux mixture at 12 days interval for two times.
asking treatment mastitis cow,suggested to apply mastilep cream over the udder surface twice daily after cleaning the udder with luke warm wate.;
asking good variety name mustard recommended cultivation zone,"m 27, ts 29, cs 36 and ts 38 have been replied and suggested as some good variety names of mustard recommended for cultivation in his zone."
asking fertilizer dos applied 12th year stage arecanut tree along procedure application,"198, 250, 233 and 8000 grams of urea, ssp, mop and fym have been suggested to apply in two equal split doses along with 25 grams of borax per application. to be applied once in march-april & the other part in sep-oct in the trench method of application."
asking cultivation practice chilli,given in details about the cultivation practices of chilli.
asking variety name pea,"suggested to grow variety like-boneville,rachna,t-163,fp-255 etc."
asking control measure powdery mildew disease pointed gourd,suggested to apply sulfex @ 2 gram / litre of water.
asking variety name black gram,"suggested about the variety like-t-9,t-27,pant u 19,ku 301 etc."
asking control measure attack rice gandhi bug paddy,'malathion 5 per cent dust' @ 3 kilo grams per 1 bigha of land has been suggested to apply as the control measure against the attack of rice gandhi bug  in paddy.
asking fertilizer dos applied 9th year stage coconut tree along procedure application,"900, 1500 and 1050 garms of urea,ssp and mop respectively, 25, 250 grams of borax and coconut special powder(micro nutrient) along with 3 kg of fym has been suggested to apply in the trench method of application at a distance of 1-1.75 metres away from the trunk of the tree.suggested to cover by green leaves and then by top soil after application."
asking package practice carrot,given in details about the package of practices of carrot.
asking planting time sow b0ro 1 boro 2 variety boro rice assam climatic condition,the month 'november' has been replied and suggested as the answer against the asked query.
asking control measure downy mildew bottle gourd,'dithane-z-78' solution @ 3 milli litres per 1 litre of water has been suggested to spray as the control measure against downy mildew in bottle gourd.
asking treatment cough goat,suggested to administer caflon pow @ 3-4 tsf orally twice a day for three consecutive days.
asking fertilizer dosage term per bigha land cultivate colocasia crop,"4.8, 1.3 & 9.4 kilo grams of urea, single super phosphate & muriate of potash respectively has been suggested as the fertilizer dosage in terms of per bigha of land to cultivate colocasia crop."
asking much quantity dap applied per bigha land pea crop cultivation,13 kilo grams per bigha of land has been replied.
asking avail kisan credit card facility,"suggested to contact with village level extension worker,ado and nearest nationalized bank."
asking good variety name mustard suitable recommended cultivatuion zone,"tm-2, tm-4 and varuna have been suggested as  some good variety names of mustard suitable and recommended for cultivatuion in his zone."
